@relation InstanceResultListener

@attribute Key_Dataset {'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayesSimple,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-1478242251770381214,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,90,1,0,98.901099,1.098901,0,0.978025,0.007768,0.08571,2.295464,20.864782,110.586637,25.641331,84.945305,1.215238,0.281773,0.933465,106.700899,1.172537,96.486251,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.998433,0.999108,0.989011,0.019314,0.980686,0.010989,0.989197,0.989011,0.988635,0.978801,0.996646,0.991519,0.97151,0.989011,0,0.001,0,0,0,0,3613,110663,14105,98.901099,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,91,0,0,100,0,0,1,0.001511,0.017508,0.446404,4.262184,110.586637,0.332533,110.254104,1.215238,0.003654,1.211584,110.254104,1.211584,99.699301,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3613,110663,14105,100,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,90,1,0,98.901099,1.098901,0,0.978025,0.009183,0.08771,2.713863,21.351664,110.586637,1074.40835,-963.821714,1.215238,11.806685,-10.591447,106.381569,1.169028,96.19749,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.975183,0.966777,0.989011,0.019314,0.980686,0.010989,0.989197,0.989011,0.988635,0.978801,0.973193,0.968681,0.97151,0.989011,0.001,0,0,0,0,0,3613,110663,14105,98.901099,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,88,3,0,96.703297,3.296703,0,0.93623,0.022396,0.148151,6.618475,36.065358,110.586637,66.470756,44.11588,1.215238,0.730448,0.48479,103.82185,1.140899,93.882818,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,1,1,0.967033,0.002747,0.997253,0.032967,0.976923,0.967033,0.969454,0.956059,0.997716,0.977999,0.924945,0.967033,0,0,0,0,0,0,3613,110663,14105,96.703297,33.333333,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,84,7,0,92.307692,7.692308,0,0.851203,0.048086,0.214107,14.210099,52.121276,110.586637,160.855329,-50.268693,1.215238,1.767641,-0.552403,93.034262,1.022355,84.127942,0.965517,56,0.030303,1,0.969697,32,0.034483,2,0.982456,0.965517,0.973913,0.929405,0.993208,0.99652,0.923077,0.028288,0.971712,0.076923,0.938452,0.923077,0.928842,0.889886,0.991102,0.963591,0.827383,0.923077,0,0,0,0,0,0,3613,110663,14105,93.406593,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,88,3,0,96.703297,3.296703,0,0.934579,0.021217,0.133339,6.270024,32.459602,110.586637,75.778763,34.807874,1.215238,0.832734,0.382504,102.905814,1.130833,93.054475,0.982759,57,0.030303,1,0.969697,32,0.017241,1,0.982759,0.982759,0.982759,0.952456,0.996865,0.998384,0.967033,0.024625,0.975375,0.032967,0.965608,0.967033,0.965869,0.943282,0.990626,0.963839,0.91104,0.967033,0,0.001,0,0,0,0,3613,110663,14105,97.802198,34.065934,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,91,0,0,100,0,0,1,0.000407,0.002644,0.120316,0.643719,110.586637,0.080875,110.505761,1.215238,0.000889,1.214349,110.505761,1.214349,99.926867,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3613,110663,14105,100,33.333333,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,91,0,0,100,0,0,1,0.000721,0.007646,0.211574,1.84736,111.733776,0.148057,111.585719,1.227844,0.001627,1.226217,111.585719,1.226217,99.867491,1,57,0,0,1,34,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3613,110663,14105,100,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,818,90,90,0,0,100,0,0,1,0.00008,0.000431,0.023625,0.104626,109.929783,0.015631,109.914151,1.221442,0.000174,1.221268,109.914151,1.221268,99.985781,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3613,110796,13972,100,33.333333,?,?,?,?
