@relation 'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1'

@attribute Age {I,A}
@attribute Sex {F,M}
@attribute Wing numeric
@attribute Weight numeric
@attribute Culmen numeric
@attribute Hallux numeric
@attribute Tail numeric
@attribute StandardTail numeric
@attribute Tarsus numeric
@attribute WingPitFat numeric
@attribute KeelFat numeric
@attribute Crop numeric
@attribute Species {RT,CH,SS}

@data
I,?,385,920,25.7,30.1,219,?,?,?,?,?,RT
I,?,376,930,?,?,221,?,?,?,?,?,RT
I,?,381,990,26.7,31.3,235,?,?,?,?,?,RT
I,F,265,470,18.7,23.5,220,?,?,?,?,?,CH
I,F,205,170,12.5,14.3,157,?,?,?,?,?,SS
I,?,412,1090,28.5,32.2,230,?,?,?,?,?,RT
I,?,370,960,25.3,30.1,212,?,?,?,?,?,RT
A,?,375,855,27.2,30,243,?,?,?,?,?,RT
A,?,412,1210,29.3,31.3,210,?,?,?,?,?,RT
I,?,405,1120,26,30.2,238,?,?,?,?,?,RT
I,?,393,1010,26.3,30.8,222,?,?,?,?,?,RT
I,?,371,1010,25.4,29.7,217,?,?,?,?,?,RT
A,?,390,1120,28.9,30.9,213,?,?,?,?,?,RT
A,?,393,?,28.2,30.6,238,?,?,?,?,?,RT
I,?,416,1170,26.5,34,243,?,?,?,?,?,RT
A,?,436,1390,30.5,34,232,?,?,?,?,?,RT
I,?,418,1150,27.1,31,238,?,?,?,?,?,RT
A,?,381,950,28.9,28.9,202,?,?,?,?,?,RT
I,?,378,910,25.7,28.2,227,?,?,?,?,?,RT
I,?,396,1010,24,26.9,227,?,?,?,?,?,RT
I,?,399,1070,26.4,31.2,222,?,?,?,?,?,RT
I,?,416,1190,28.8,31.6,237,?,?,?,?,?,RT
I,?,415,101,24.9,30.7,238,?,?,?,?,?,RT
A,?,392,1330,27,30.3,213,?,?,?,?,?,RT
I,?,380,990,26,30,211,?,?,?,?,?,RT
I,M,173,100,?,?,130,?,?,?,?,?,SS
I,?,399,1100,26.2,32.5,190,?,?,?,?,?,RT
A,?,401,1190,28.6,31.6,245,?,?,?,?,?,RT
I,F,205,180,11.7,15,164,?,?,?,?,?,SS
I,?,427,1490,30.1,32.4,246,?,?,?,?,?,RT
A,?,395,1040,27.1,31.4,207,?,?,?,?,?,RT
I,?,362,820,24.9,27.9,209,?,?,?,?,?,RT
A,?,396,1030,26,29.7,200,?,?,?,?,?,RT
A,?,391,1300,25.5,32.4,215,?,?,?,?,?,RT
A,?,413,1500,26.5,31.3,219,?,?,?,?,?,RT
A,?,371,1080,25.3,27.2,198,?,?,?,?,?,RT
A,?,385,1320,27.3,30.1,207,?,?,?,?,?,RT
A,?,378,1490,25.4,31.3,204,?,?,?,?,?,RT
A,?,416,1500,29.1,30.8,205,?,?,?,?,?,RT
I,M,193,100,9.3,101,144,?,?,?,?,?,SS
I,M,171,88,9.7,11.5,136,?,?,?,?,?,SS
I,?,233,324,16,19.3,191,?,?,?,?,?,CH
I,?,384,1060,26.1,31.2,230,?,?,?,?,?,RT
I,?,382,1140,25.1,29.4,227,?,?,?,?,?,RT
I,?,390,1030,27.6,30.3,208,?,?,?,?,?,RT
I,?,390,1000,25.1,28.3,231,?,?,?,?,?,RT
